4/14/26 15:55,1,48.2,123,Quercus coccinea
4/14/26 15:56,1,7.9,65,Liquidambar styraciflua
4/15/26 15:56,1,16.2,89,Liquidambar styraciflua 
4/16/26 15:56,1,7.5,60,Liquidambar styraciflua 
4/17/26 15:56,1,6.1,50,Acer rubrum
4/18/26 15:56,1,7,38,Sassafras albidum
4/19/26 15:56,1,10.5,78,Quercus coccinea
4/20/26 15:56,1,6.7,48,Quercus alba
4/21/26 15:56,1,9.8,70,Quercus coccinea
4/22/26 15:56,1,17.9,95,Quercus coccinea
4/23/26 15:56,1,8,59,Quercus alba
4/24/26 15:56,1,11,77,Liquidambar styraciflua 
4/25/26 15:56,1,9.8,76,Quercus coccinea
4/26/26 15:56,1,12.7,92,Quercus coccinea
4/27/26 15:56,1,7.9,69,Sassafras albidum
4/28/26 15:56,1,8.9,65,Acer rubrum
4/29/26 15:56,2,6.4,61,Acer rubrum
4/30/26 15:56,2,6.5,46,Acer rubrum
5/1/26 15:56,2,9.9,88,Acer rubrum
5/2/26 15:56,2,7,70,Acer rubrum
5/3/26 15:57,2,7.8,74,Liquidambar styraciflua 
5/4/26 15:57,2,14.8,110,Liquidambar styraciflua 
5/5/26 15:57,2,9.5,77,Liquidambar styraciflua 
5/6/26 15:57,2,6.4,42,Acer rubrum
5/7/26 15:57,2,12.2,98,Liquidambar styraciflua 
5/8/26 15:57,2,6.8,76,Liquidambar styraciflua 
5/9/26 15:57,2,7.7,73,Quercus alba
5/10/26 15:57,2,6,56,Liquidambar styraciflua 
5/11/26 15:57,2,9.2,79,Acer rubrum
5/12/26 15:57,2,12,111,Liquidambar styraciflua 
5/13/26 15:57,2,6.9,59,Acer rubrum
5/14/26 15:57,2,11,122,Liquidambar styraciflua 
5/15/26 15:57,2,16,63,Acer rubrum
5/16/26 15:57,2,14.2,119,Liquidambar styraciflua 
5/17/26 15:57,2,14,116,Liquidambar styraciflua 
5/18/26 15:57,3,10,83,Quercus alba
5/19/26 15:58,3,12,105,Liquidambar styraciflua 
5/20/26 15:58,3,7.2,47,Liquidambar styraciflua 
5/21/26 15:58,3,12.2,81,Liquidambar styraciflua 
5/22/26 15:58,3,9.1,83,Liquidambar styraciflua 
5/23/26 15:58,3,8.4,67,Nyssa sylvatica
5/24/26 15:58,3,16.6,99,Liquidambar styraciflua 
5/25/26 15:58,3,11.1,78,Acer rubrum
5/26/26 15:58,3,15.3,104,Acer rubrum
5/27/26 15:58,3,16.8,102,Acer rubrum
5/28/26 15:58,3,6.4,53,Oxydendrum arboreum
5/29/26 15:58,3,7,50,Oxydendrum arboreum
5/30/26 15:59,3,12.6,83,Liquidambar styraciflua 
4/22/26 19:17,4,6.3,54,Oxydendrum arboreum
4/22/26 19:18,4,6.5,62,Oxydendrum arboreum
4/22/26 19:21,4,10.2,53,Quercus velutina
4/22/26 19:22,4,6.7,17,Acer rubrum
4/22/26 19:22,4,10,71,Oxydendrum arboreum
4/22/26 19:23,4,21.6,77,Quercus coccinea
4/22/26 19:26,4,10.2,52,Acer rubrum
4/22/26 19:26,4,6.1,44,Quercus alba
4/22/26 19:26,4,6,52,Acer rubrum
4/22/26 19:30,4,15.6,66,Quercus pagoda
4/22/26 19:32,4,13.1,70,Quercus coccinea
4/22/26 19:32,4,8.1,56,Oxydendrum arboreum
4/22/26 19:33,4,20.8,92,Quercus coccinea
4/22/26 19:34,4,14,61,Quercus alba
4/22/26 19:34,4,8.1,56,Oxydendrum arboreum
4/22/26 19:45,5,18,114,Quercus montana
4/22/26 19:46,5,20,120,Quercus montana
4/22/26 19:46,5,8.5,76,Acer rubrum
4/22/26 19:47,5,21,125,Quercus velutina
4/22/26 19:50,5,14.4,111,Quercus stellata
4/22/26 19:55,6,8.4,70,Sassafras albidum
4/22/26 19:56,6,12.5,96,Quercus alba
4/22/26 19:56,6,16.3,102,Quercus coccinea
4/22/26 19:57,6,25.1,109,Quercus alba
4/22/26 19:58,6,10.6,69,Quercus alba
4/22/26 19:58,6,11.2,75,Quercus alba
4/22/26 19:58,6,12.7,72,Quercus coccinea
