4/19/26 20:52,1,2.27
4/19/26 21:01,1,1.54
4/19/26 21:02,1,1.04
4/19/26 21:02,1,3.3
4/19/26 21:02,1,0.2
4/19/26 21:02,1,63.62
4/19/26 21:04,2,132.73
4/19/26 21:03,2,1.13
4/19/26 21:04,2,0.79
4/19/26 21:04,2,0.79
4/19/26 21:04,2,0.79
4/19/26 21:04,2,0.79
4/19/26 21:04,3,70.88
4/19/26 21:05,3,0.44
4/19/26 21:05,3,1.77
4/19/26 21:05,3,0.79
4/19/26 21:05,3,779.31
4/22/26 19:35,4,3.14
4/22/26 19:35,4,3.14
4/22/26 19:35,4,7.07
4/22/26 19:37,4,63.62
4/22/26 19:37,4,1.77
4/22/26 19:38,4,5.94
4/22/26 19:38,4,95.03
4/22/26 19:38,4,2.41
4/22/26 19:38,4,9.62
4/22/26 19:38,4,1.77
4/22/26 19:38,4,38.48
4/22/26 19:39,4,38.48
4/22/26 19:39,4,15.9
4/22/26 19:39,4,0.44
4/22/26 19:39,4,0.79
4/22/26 19:39,4,1.77
4/22/26 19:41,4,9.62
4/22/26 19:42,4,314.16
4/22/26 20:02,5,44.18
4/22/26 20:02,5,0.79
4/22/26 20:02,5,19.63
4/22/26 20:02,5,4.91
4/22/26 20:02,5,0.79
4/22/26 20:03,5,0.2
4/22/26 20:03,5,240.53
4/22/26 20:03,5,15.9
4/22/26 20:03,5,9.62
4/22/26 20:03,5,9.62
4/22/26 20:04,6,7.07
4/22/26 20:04,6,0.79
4/22/26 20:04,6,0.79
4/22/26 20:05,6,11.04
4/22/26 20:05,6,4.91
4/22/26 20:05,6,0.79
4/22/26 20:05,6,0.79
4/22/26 20:05,6,12.57
4/22/26 20:05,6,3.14
4/22/26 20:05,6,0.79
4/22/26 20:07,6,3.14
4/22/26 20:07,6,0.44
